0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:43 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 678
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:44 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:31:44 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:09 -0700] "GET /MVCProject/ HTTP/1.1" 200 1137
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:09 -0700] "GET /MVCProject/app/appModule/app.module.js HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:09 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.js HTTP/1.1" 200 1248
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:09 -0700] "GET /MVCProject/app/appModule/todo.service.js HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:09 -0700] "GET /MVCProject/app/appModule/todoList/todoList.component.html HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:09 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:14 -0700] "PUT /MVCProject/rest/user/1/todo/4 HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:14 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:17 -0700] "PUT /MVCProject/rest/user/1/todo/4 HTTP/1.1" 200 191
0:0:0:0:0:0:0:1 - - [08/Jan/2018:16:33:17 -0700] "GET /MVCProject/rest/user/1/todo HTTP/1.1" 200 664
